module,task,metric_kind,proxy_corruption_fraction,replicate,random_score,grouped_score_under_proxy,true_grouped_score,gap_under_proxy,true_gap,gap_retention,proxy_n_groups
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,0.1,1,0.5528695151215022,0.43138716067936156,0.055118216785339236,0.12148235444214062,0.49775129833616294,0.24406235573512436,28
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,0.1,2,0.5528695151215022,0.17379524626858245,0.055118216785339236,0.3790742688529197,0.49775129833616294,0.7615736415355503,28
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,0.1,3,0.5528695151215022,0.394299790311038,0.055118216785339236,0.15856972481046416,0.49775129833616294,0.3185721972810847,28
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,0.1,4,0.5528695151215022,0.37691270983783043,0.055118216785339236,0.17595680528367175,0.49775129833616294,0.35350345819658113,28
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,0.1,5,0.5528695151215022,0.17913205677789878,0.055118216785339236,0.3737374583436034,0.49775129833616294,0.7508518000714381,28
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,0.25,1,0.5528695151215022,0.41154459241573593,0.055118216785339236,0.14132492270576624,0.49775129833616294,0.28392677865065175,28
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,0.25,2,0.5528695151215022,0.21451526597524417,0.055118216785339236,0.338354249146258,0.49775129833616294,0.6797656787180211,28
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,0.25,3,0.5528695151215022,0.3452376995183136,0.055118216785339236,0.20763181560318855,0.49775129833616294,0.41713967657591455,28
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,0.25,4,0.5528695151215022,0.1812081203451581,0.055118216785339236,0.3716613947763441,0.49775129833616294,0.7466809147835465,28
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,0.25,5,0.5528695151215022,0.514651944351296,0.055118216785339236,0.038217570770206155,0.49775129833616294,0.07678045421067975,28
